movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247426,불임치료-정자가 필요해,HUNINNTIRYOU-02,2022.0,20240202.0,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20111622,라이카,Laika,2010.0,,단편,기타,영국,애니메이션,영국,애니메이션
20247409,말 할 수 없는 비밀-날 세워준 새엄마,MUSUKONOKAERIWOMATU,2022.0,20240202.0,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20119702,라이브 테이프,Live Tape,2009.0,,장편,기타,일본,다큐멘터리,일본,다큐멘터리
20247317,뜨겁게 달아오른 누나의 유혹,,2023.0,20240202.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20071010,라울 월쉬 회고전,Package Screening,,,장편,기타,기타,기타,기타,기타
20124379,라운더바우트 ,Roundabout,1950.0,,장편,기타,프랑스,드라마,프랑스,드라마
20134771,라아반,Raavan,2010.0,,장편,기타,인도,"드라마,액션,어드벤처",인도,드라마
20149245,라스트 더 맥스,Corrado,2010.0,,장편,기타,미국,"액션,범죄,드라마",미국,액션
20070246,라스 폰 트리에 3색 유혹,,,,장편,기타,기타,기타,기타,기타
20113173,라벤더힐 몹,Lavender Hill Mob,1951.0,,장편,기타,영국,코미디,영국,코미디
20128094,라바짜 - 내 맘대로 동화,Lavazza - Fairy Tale My Way,,,단편,기타,이탈리아,애니메이션,이탈리아,애니메이션
19730155,뜨거운 영광,The Great Glory,1973.0,,장편,기타,한국,드라마,한국,드라마
20127984,뛰어!,Run!,2003.0,,단편,기타,일본,애니메이션,일본,애니메이션
19789024,똘이장군,General Ttoli,1978.0,,장편,기타,한국,"가족,애니메이션,액션",한국,가족
19730079,또순이와 갑순이,Tto-Sunyi And Gap-Sunyi,1973.0,,장편,기타,한국,코미디,한국,코미디
20119689,떠도는 삶,Floating Lives,2010.0,,장편,기타,"베트남,싱가포르","드라마,멜로/로맨스",베트남,드라마
20124990,떠나지 못하는 사람들 - 끝나지 않은 이야기,Those Who Can't Leave,2012.0,,장편,기타,한국,다큐멘터리,한국,다큐멘터리
20128078,땡땡의 모든 것,Tintin and I,2004.0,,장편,기타,덴마크,다큐멘터리,덴마크,다큐멘터리
20247452,재발,recurren,2021.0,,단편,기타,한국,드라마,한국,드라마
20228702,불명예퇴직,,2023.0,,단편,기타,한국,드라마,한국,드라마
20230242,행운빌라 502호,Unexpected Visitors,2022.0,,단편,기타,한국,드라마,한국,드라마
